date,open,high,low,close,volume
2020-01-02,117.26,117.4,114.76,115.96,1870613
2020-01-03,114.06,115.24,112.06,112.34,2695805
2020-01-06,110.83,112.98,109.4,111.64,3186472
2020-01-07,111.28,112.75,110.73,111.23,1677244
2020-01-08,111.54,113.77,111.42,112.92,1735293
2020-01-09,113.93,114.0,110.79,111.96,1676342
2020-01-10,113.5,115.85,113.0,113.42,2412968
2020-01-13,113.86,117.499,113.86,115.74,1866710
2020-01-14,115.83,116.57,114.12,115.91,1518051
2020-01-15,115.36,115.41,112.06,112.5,1637780
2020-01-16,113.42,114.2,112.82,113.8,1443548
2020-01-17,114.59,115.57,113.59,114.74,1376435
2020-01-21,113.97,115.75,113.92,114.87,997037
2020-01-22,115.71,118.23,115.55,116.33,1281772
2020-01-23,116.47,118.78,115.65,118.68,2014386
2020-01-24,115.88,117.395,112.28,113.39,2411997
2020-01-27,111.1,111.68,108.53,109.98,1739491
2020-01-28,110.92,114.07,110.235,113.56,1704484
2020-01-29,114.03,114.7,111.43,112.57,2211712
2020-01-30,121.61,122.3652,109.37,111.79,5783151
2020-01-31,110.78,111.08,105.12,105.86,3557628
2020-02-03,106.16,108.42,105.93,107.56,1939940
2020-02-04,110.05,110.5,107.61,107.89,1961138
2020-02-05,109.6,111.35,108.72,111.32,1773863
2020-02-06,111.4,111.77,109.27,109.77,1802847
2020-02-07,108.26,108.51,104.86,105.15,2422368
2020-02-10,103.75,105.36,102.88,105.35,1867892
2020-02-11,106.45,110.05,106.45,108.59,1625721
2020-02-12,110.0,112.27,109.225,111.73,1584294
2020-02-13,110.15,111.36,108.62,109.17,1649398
2020-02-14,109.96,110.36,105.235,106.02,1661064
2020-02-18,103.69,104.86,102.51,103.23,2148373
2020-02-19,103.72,106.38,103.6,104.24,1717998
2020-02-20,103.93,104.0,99.52,101.56,2961457
2020-02-21,100.8,101.2,97.75,98.19,1841305
2020-02-24,93.57,97.48,93.31,96.34,2599047
2020-02-25,96.93,97.77,95.44,96.6,2817561
2020-02-26,96.83,98.54,95.81,96.13,1667776
2020-02-27,93.24,97.2,93.1,94.8,3170614
2020-02-28,91.81,100.89,91.18,100.58,4208967
2020-03-02,101.09,101.78,96.36,100.44,2626260
2020-03-03,103.0,104.93,97.26,98.3,3038576
